Time,xOut,yOut,zOut
50.0,333.0,329.0,400.0
100.0,332.0,331.0,400.0
150.0,333.0,330.0,400.0
200.0,333.0,331.0,399.0
250.0,334.0,330.0,400.0
300.0,332.0,332.0,400.0
350.0,333.0,329.0,399.0
400.0,333.0,331.0,400.0
450.0,333.0,331.0,400.0
500.0,333.0,330.0,399.0
550.0,332.0,331.0,401.0
600.0,334.0,330.0,399.0
650.0,334.0,329.0,401.0
700.0,333.0,329.0,401.0
750.0,335.0,330.0,399.0
800.0,334.0,331.0,400.0
850.0,334.0,331.0,399.0
900.0,334.0,330.0,401.0
950.0,334.0,332.0,400.0
1000.0,335.0,329.0,399.0
1050.0,335.0,330.0,400.0
1100.0,334.0,330.0,400.0
1150.0,335.0,330.0,401.0
1200.0,334.0,329.0,399.0
1250.0,335.0,329.0,400.0
1300.0,335.0,329.0,401.0
1350.0,335.0,329.0,400.0
1400.0,335.0,329.0,400.0
1451.0,340.0,330.0,399.0
1501.0,334.0,329.0,399.0
1551.0,335.0,327.0,400.0
1601.0,335.0,329.0,400.0
1651.0,335.0,330.0,399.0
1701.0,335.0,328.0,400.0
1751.0,335.0,329.0,401.0
1801.0,335.0,328.0,398.0
1851.0,336.0,328.0,401.0
1901.0,335.0,329.0,400.0
1951.0,335.0,327.0,399.0
2001.0,334.0,329.0,401.0
2051.0,335.0,327.0,398.0
2101.0,335.0,331.0,403.0
2151.0,335.0,328.0,397.0
2201.0,334.0,330.0,402.0
2251.0,334.0,329.0,400.0
2301.0,334.0,329.0,399.0
2351.0,334.0,329.0,401.0
2401.0,335.0,328.0,399.0
2451.0,334.0,330.0,400.0
2501.0,334.0,329.0,399.0
2551.0,334.0,330.0,401.0
2601.0,334.0,329.0,400.0
2651.0,334.0,331.0,400.0
2701.0,335.0,329.0,400.0
2751.0,335.0,331.0,401.0
2801.0,335.0,330.0,399.0
2851.0,335.0,329.0,401.0
2902.0,335.0,330.0,400.0
2952.0,335.0,329.0,400.0
3002.0,335.0,330.0,401.0
3052.0,335.0,329.0,399.0
3102.0,335.0,330.0,401.0
3152.0,335.0,329.0,400.0
3202.0,335.0,328.0,399.0
3252.0,335.0,330.0,399.0
3302.0,336.0,330.0,401.0
3352.0,336.0,331.0,401.0
3402.0,334.0,330.0,399.0
3452.0,335.0,331.0,399.0
3502.0,334.0,332.0,399.0
3552.0,334.0,331.0,402.0
3602.0,335.0,331.0,398.0
3652.0,336.0,332.0,401.0
3702.0,335.0,329.0,398.0
3752.0,335.0,332.0,401.0
3802.0,336.0,330.0,399.0
3852.0,335.0,331.0,401.0
3902.0,335.0,331.0,400.0
3952.0,335.0,330.0,400.0
4002.0,336.0,333.0,400.0
4052.0,337.0,331.0,398.0
4102.0,337.0,331.0,400.0
4152.0,338.0,333.0,400.0
4202.0,337.0,332.0,399.0
4252.0,339.0,333.0,399.0
4302.0,339.0,332.0,400.0
4352.0,340.0,332.0,397.0
4402.0,341.0,331.0,400.0
4452.0,345.0,335.0,397.0
4502.0,344.0,332.0,402.0
4552.0,346.0,335.0,397.0
4602.0,347.0,333.0,397.0
4652.0,349.0,333.0,398.0
4702.0,352.0,338.0,395.0
4752.0,352.0,331.0,400.0
4802.0,355.0,335.0,394.0
4852.0,354.0,331.0,398.0
4902.0,359.0,336.0,396.0
4952.0,358.0,328.0,395.0
5002.0,361.0,335.0,391.0
5052.0,362.0,329.0,394.0
5102.0,365.0,337.0,390.0
5152.0,365.0,329.0,392.0
5202.0,368.0,333.0,390.0
5252.0,370.0,332.0,391.0
5302.0,369.0,331.0,387.0
