Time,xOut,yOut,zOut
50.0,337.0,355.0,384.0
100.0,337.0,355.0,383.0
150.0,337.0,355.0,384.0
200.0,337.0,355.0,384.0
250.0,337.0,355.0,383.0
300.0,337.0,355.0,383.0
350.0,337.0,355.0,383.0
400.0,337.0,355.0,383.0
450.0,337.0,355.0,383.0
500.0,337.0,355.0,383.0
550.0,337.0,355.0,383.0
600.0,337.0,355.0,383.0
650.0,337.0,355.0,383.0
700.0,337.0,355.0,384.0
750.0,337.0,355.0,384.0
800.0,337.0,355.0,383.0
850.0,337.0,355.0,383.0
900.0,337.0,355.0,383.0
950.0,337.0,355.0,383.0
1000.0,337.0,355.0,384.0
1050.0,337.0,355.0,383.0
Time,xOut,yOut,zOut
50.0,337.0,355.0,383.0
100.0,337.0,355.0,383.0
150.0,337.0,355.0,384.0
200.0,337.0,355.0,384.0
250.0,337.0,355.0,383.0
300.0,337.0,355.0,384.0
350.0,337.0,355.0,383.0
400.0,337.0,355.0,384.0
450.0,337.0,355.0,383.0
500.0,337.0,355.0,384.0
550.0,337.0,355.0,384.0
600.0,337.0,355.0,384.0
650.0,337.0,355.0,384.0
700.0,337.0,355.0,384.0
750.0,337.0,355.0,384.0
800.0,337.0,355.0,384.0
850.0,337.0,355.0,383.0
900.0,337.0,355.0,384.0
950.0,337.0,355.0,384.0
1000.0,337.0,355.0,384.0
1050.0,337.0,355.0,384.0
1100.0,337.0,355.0,383.0
1150.0,337.0,355.0,383.0
1200.0,337.0,355.0,384.0
1250.0,337.0,355.0,384.0
1300.0,337.0,355.0,384.0
1350.0,337.0,355.0,384.0
1400.0,337.0,355.0,384.0
1451.0,337.0,355.0,383.0
1501.0,337.0,355.0,383.0
1551.0,337.0,355.0,384.0
1601.0,337.0,355.0,383.0
1651.0,337.0,355.0,384.0
1701.0,337.0,355.0,383.0
1751.0,337.0,355.0,383.0
1801.0,337.0,355.0,383.0
1851.0,337.0,355.0,384.0
1901.0,337.0,355.0,383.0
1951.0,337.0,355.0,384.0
2001.0,337.0,355.0,384.0
2051.0,337.0,355.0,384.0
2101.0,337.0,354.0,384.0
2151.0,337.0,355.0,384.0
2201.0,337.0,355.0,384.0
2251.0,337.0,355.0,383.0
2301.0,337.0,354.0,384.0
2351.0,337.0,355.0,384.0
2401.0,337.0,355.0,383.0
2451.0,337.0,355.0,383.0
2501.0,337.0,355.0,383.0
2551.0,337.0,355.0,384.0
2601.0,337.0,355.0,383.0
2651.0,337.0,355.0,383.0
2701.0,337.0,355.0,383.0
2751.0,337.0,355.0,383.0
2801.0,337.0,355.0,383.0
2851.0,337.0,355.0,383.0
2902.0,337.0,355.0,384.0
2952.0,337.0,355.0,383.0
3002.0,337.0,355.0,384.0
3052.0,337.0,355.0,384.0
3102.0,337.0,355.0,384.0
3152.0,337.0,355.0,383.0
3202.0,337.0,355.0,383.0
3252.0,337.0,355.0,383.0
3302.0,337.0,355.0,383.0
3352.0,337.0,355.0,384.0
3402.0,337.0,355.0,384.0
3452.0,337.0,355.0,384.0
3502.0,337.0,355.0,384.0
3552.0,337.0,355.0,383.0
3602.0,337.0,355.0,383.0
3652.0,337.0,355.0,383.0
3702.0,337.0,355.0,383.0
3752.0,337.0,355.0,384.0
3802.0,337.0,355.0,383.0
3852.0,337.0,355.0,384.0
3902.0,337.0,355.0,383.0
3952.0,337.0,355.0,383.0
4002.0,337.0,355.0,383.0
4052.0,337.0,355.0,383.0
4102.0,337.0,355.0,384.0
4152.0,337.0,355.0,383.0
4202.0,337.0,355.0,384.0
4252.0,337.0,355.0,384.0
4302.0,337.0,355.0,384.0
4352.0,337.0,355.0,383.0
4402.0,337.0,355.0,384.0
4452.0,337.0,355.0,384.0
4502.0,337.0,355.0,383.0
4552.0,337.0,355.0,383.0
4602.0,337.0,355.0,384.0
4652.0,337.0,355.0,384.0
4702.0,337.0,355.0,383.0
4752.0,337.0,355.0,384.0
4802.0,337.0,355.0,384.0
4852.0,337.0,355.0,383.0
4902.0,337.0,355.0,384.0
4952.0,337.0,355.0,384.0
5002.0,337.0,355.0,383.0
5052.0,337.0,355.0,383.0
5102.0,337.0,355.0,383.0
5152.0,337.0,355.0,384.0
5202.0,337.0,355.0,384.0
5252.0,337.0,355.0,384.0
5302.0,337.0,355.0,383.0
5352.0,337.0,355.0,383.0
Time,xOut,yOut,zOut
50.0,340.0,348.0,386.0
100.0,339.0,348.0,386.0
150.0,339.0,348.0,386.0
200.0,339.0,348.0,386.0
250.0,339.0,348.0,386.0
300.0,339.0,348.0,386.0
350.0,339.0,348.0,386.0
400.0,339.0,348.0,386.0
450.0,339.0,348.0,386.0
500.0,339.0,348.0,386.0
550.0,339.0,348.0,386.0
600.0,339.0,348.0,386.0
650.0,339.0,348.0,386.0
Time,xOut,yOut,zOut
50.0,339.0,348.0,386.0
100.0,339.0,348.0,386.0
150.0,339.0,348.0,386.0
200.0,339.0,348.0,386.0
250.0,339.0,348.0,386.0
300.0,339.0,348.0,386.0
350.0,339.0,348.0,386.0
400.0,339.0,348.0,386.0
450.0,339.0,348.0,386.0
500.0,339.0,348.0,386.0
550.0,339.0,348.0,386.0
600.0,339.0,348.0,386.0
650.0,339.0,348.0,386.0
700.0,339.0,348.0,386.0
750.0,339.0,348.0,386.0
800.0,339.0,348.0,385.0
850.0,339.0,348.0,386.0
900.0,339.0,348.0,386.0
950.0,339.0,348.0,385.0
1000.0,339.0,348.0,385.0
1050.0,339.0,348.0,386.0
1100.0,339.0,348.0,386.0
1150.0,339.0,348.0,386.0
1200.0,339.0,348.0,386.0
1250.0,339.0,348.0,386.0
1300.0,339.0,348.0,386.0
1350.0,339.0,348.0,386.0
1400.0,339.0,348.0,386.0
1451.0,339.0,348.0,386.0
1501.0,339.0,348.0,386.0
1551.0,339.0,348.0,386.0
1601.0,339.0,348.0,386.0
1651.0,339.0,348.0,386.0
1701.0,339.0,348.0,386.0
1751.0,339.0,348.0,386.0
1801.0,339.0,348.0,386.0
