"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"31","GTP","Alexander Sims","1","1:39.716","1:39.716","Green","Track","0.000","38.220","24.449"
"27","GTD","Roman De Angelis","1","1:54.287","1:54.287","Green","Track","0.000","38.045","20.916"
"6","GTP","Mathieu Jaminet","1","1:54.980","1:54.980","Green","Track","0.000","41.417","23.389"
"14","GTDPRO","Jack Hawksworth","1","1:56.619","1:56.619","Green","Pit","0.000","43.837","29.832"
"25","GTP","Nick Yelloly","1","1:58.595","1:58.595","Green","Pit","0.000","39.163","30.961"
"24","GTP","Augusto Farfus","1","1:59.498","1:59.498","Green","Pit","0.000","39.098","31.624"
"12","GTD","Aaron Telitz","1","2:01.817","2:01.817","Green","Pit","0.000","45.507","31.513"
"3","GTDPRO","Antonio Garcia","1","2:04.082","2:04.082","Green","Pit","0.000","40.800","30.015"
"5","GTP","Mike Rockenfeller","1","2:05.413","2:05.413","Green","Track","53.077","41.688","22.786"
"7","GTP","Felipe Nasr","1","2:12.144","2:12.144","Green","Pit","0.000","44.355","32.292"
"70","GTD","Frederik Schandorff","1","2:12.197","2:12.197","Green","Track","0.000","41.750","21.852"
"10","GTP","Filipe Albuquerque","1","2:13.197","2:13.197","Green","Pit","0.000","42.382","32.920"
"33","LMP3","Joao Barbosa","1","2:16.198","2:16.198","Green","Track","55.249","38.899","21.728"
"4","LMP3","George Staikos","1","2:18.175","2:18.175","Green","Track","57.464","39.798","22.566"
"66","GTD","Katherine Legge","1","2:19.179","2:19.179","Green","Track","56.342","42.589","23.618"
"9","GTDPRO","Klaus Bachler","1","2:22.793","2:22.793","Green","Pit","0.000","50.433","35.397"
"23","GTDPRO","Alex Riberas","1","2:26.023","2:26.023","Green","Pit","0.000","46.640","34.407"
"77","GTD","Trent Hindman","1","2:26.942","2:26.942","Green","Track","56.445","44.562","22.090"
"32","GTD","Mike Skeen","1","2:29.361","2:29.361","Green","Track","54.000","50.927","21.993"
"1","GTD","Madison Snow","1","2:29.876","2:29.876","Green","Track","0.000","41.091","21.182"
"57","GTD","Philip Ellis","1","2:33.267","2:33.267","Green","Track","36.032","37.697","20.502"
"96","GTD","Robby Foley","1","2:39.736","2:39.736","Green","Track","39.594","38.736","20.470"
"97","GTD","Bill Auberlen","1","2:40.886","2:40.886","Green","Track","39.156","38.890","20.480"
"01","GTP","Sebastien Bourdais","1","2:42.602","2:42.602","Green","Pit","0.000","42.968","32.709"
"79","GTDPRO","Jules Gounon","1","2:53.229","2:53.229","Green","Track","340.739","41.794","22.610"
"80","GTD","Seb Priaulx","1","2:56.388","2:56.388","Green","Pit","51.243","40.110","55.220"
"60","GTP","Tom Blomqvist","1","2:58.486","2:58.486","Green","Pit","0.000","40.307","30.568"
"31","GTP","Alexander Sims","2","1:23.110","3:02.826","Green","Track","24.543","35.239","23.328"
"27","GTD","Roman De Angelis","2","1:19.392","3:13.679","Green","Track","24.306","36.033","19.053"
"6","GTP","Mathieu Jaminet","2","1:34.229","3:29.209","Green","Pit","28.421","36.139","29.669"
"33","LMP3","Joao Barbosa","2","1:19.578","3:35.776","Green","Track","24.131","35.974","19.473"
"4","LMP3","George Staikos","2","1:22.588","3:40.763","Green","Track","25.606","36.884","20.098"
