"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"3","GTDPRO","Jordan Taylor","1","1:44.971","1:44.971","Green","Track","0.000","40.331","19.800"
"23","GTDPRO","Alex Riberas","1","1:50.101","1:50.101","Green","Track","0.000","41.781","21.866"
"27","GTD","Roman De Angelis","1","1:53.116","1:53.116","Green","Track","0.000","43.164","22.192"
"1","GTD","Madison Snow","1","1:54.999","1:54.999","Green","Track","0.000","43.454","22.723"
"70","GTD","Brendan Iribe","1","1:55.826","1:55.826","Green","Track","44.485","41.061","22.133"
"79","GTDPRO","Jules Gounon","1","1:57.008","1:57.008","Green","Pit","0.000","42.990","30.737"
"91","GTD","Alan Metni","1","1:58.868","1:58.868","Green","Track","45.420","44.023","23.919"
"92","GTD","David Brule","1","1:59.917","1:59.917","Green","Track","45.574","43.543","24.132"
"78","GTD","Misha Goikhberg","1","2:06.180","2:06.180","Green","Track","41.063","42.631","27.234"
"96","GTD","Patrick Gallagher","1","2:10.600","2:10.600","Green","Track","45.794","43.892","30.771"
"97","GTD","Chandler Hull","1","2:10.887","2:10.887","Green","Track","46.000","44.561","29.359"
"32","GTD","Mikael Grenier","1","2:12.437","2:12.437","Green","Track","49.135","41.099","23.270"
"77","GTD","Alan Brynjolfsson","1","2:13.361","2:13.361","Green","Track","43.840","46.599","29.420"
"66","GTD","Sheena Monk","1","2:13.371","2:13.371","Green","Track","45.768","48.157","27.550"
"80","GTD","PJ Hyett","1","2:14.610","2:14.610","Green","Track","48.785","42.646","23.280"
"57","GTD","Russell Ward","1","2:28.919","2:28.919","Green","Track","39.181","37.425","19.566"
"12","GTD","Frankie Montecalvo","1","2:50.238","2:50.238","Green","Track","0.000","45.544","23.156"
"3","GTDPRO","Jordan Taylor","2","1:22.689","3:07.660","Green","Track","23.432","40.691","18.566"
"23","GTDPRO","Alex Riberas","2","1:21.441","3:11.542","Green","Track","24.345","36.422","20.674"
"27","GTD","Roman De Angelis","2","1:24.012","3:17.128","Green","Track","25.873","39.191","18.948"
"1","GTD","Madison Snow","2","1:28.743","3:23.742","Green","Track","25.399","41.916","21.428"
"70","GTD","Brendan Iribe","2","1:29.097","3:24.923","Green","Track","25.148","42.302","21.647"
"91","GTD","Alan Metni","2","1:28.231","3:27.099","Green","Track","24.685","41.232","22.314"
"92","GTD","David Brule","2","1:28.891","3:28.808","Green","Track","26.385","38.894","23.612"
"78","GTD","Misha Goikhberg","2","1:26.094","3:32.274","Green","Track","24.283","42.826","18.985"
"96","GTD","Patrick Gallagher","2","1:29.904","3:40.504","Green","Track","25.906","43.405","20.593"
"32","GTD","Mikael Grenier","2","1:32.272","3:44.709","Green","Track","27.150","40.752","24.370"
"97","GTD","Chandler Hull","2","1:35.519","3:46.406","Green","Track","27.089","44.444","23.986"
"77","GTD","Alan Brynjolfsson","2","1:34.038","3:47.399","Green","Track","27.035","46.067","20.936"
"80","GTD","PJ Hyett","2","1:34.895","3:49.505","Green","Track","27.867","44.231","22.797"
"66","GTD","Sheena Monk","2","1:40.816","3:54.187","Green","Track","27.653","48.680","24.483"
"57","GTD","Russell Ward","2","1:36.135","4:05.054","Green","Track","23.721","43.814","28.600"
"12","GTD","Frankie Montecalvo","2","1:19.475","4:09.713","Green","Track","24.862","36.072","18.541"
"14","GTDPRO","Jack Hawksworth","1","4:14.285","4:14.285","Green","Track","0.000","39.671","20.279"
"3","GTDPRO","Jordan Taylor","3","1:15.655","4:23.315","Green","Track","22.283","35.159","18.213"
"23","GTDPRO","Alex Riberas","3","1:15.703","4:27.245","Green","Track","22.647","34.787","18.269"
"27","GTD","Roman De Angelis","3","1:15.918","4:33.046","Green","Track","22.396","35.114","18.408"
"1","GTD","Madison Snow","3","1:16.034","4:39.776","Green","Track","22.905","34.714","18.415"
"70","GTD","Brendan Iribe","3","1:17.553","4:42.476","Green","Track","23.250","35.723","18.580"
