"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"60","GTP","Tom Blomqvist","1","1:10.345","1:10.345","Green","Track","21.548","31.962","16.788"
"10","GTP","Ricky Taylor","1","1:11.059","1:11.059","Green","Track","22.197","32.106","16.755"
"01","GTP","Sebastien Bourdais","1","1:12.040","1:12.040","Green","Track","22.802","32.125","16.897"
"31","GTP","Pipo Derani","1","1:12.543","1:12.543","Green","Track","22.991","32.281","16.961"
"7","GTP","Felipe Nasr","1","1:13.071","1:13.071","Green","Track","23.197","32.123","17.252"
"24","GTP","Augusto Farfus","1","1:14.620","1:14.620","Green","Track","23.867","32.925","17.309"
"6","GTP","Mathieu Jaminet","1","1:15.053","1:15.053","Green","Track","23.484","32.968","17.441"
"25","GTP","Nick Yelloly","1","1:15.593","1:15.593","Green","Track","24.044","33.100","17.618"
"5","GTP","Mike Rockenfeller","1","1:16.047","1:16.047","Green","Track","24.228","33.024","17.807"
"74","LMP3","Gar Robinson","1","1:19.331","1:19.331","Green","Track","23.858","35.635","18.189"
"13","LMP3","Orey Fidani","1","1:19.951","1:19.951","Green","Track","23.813","35.442","18.704"
"30","LMP3","Ari Balogh","1","1:20.394","1:20.394","Green","Track","23.939","35.900","18.487"
"17","LMP3","Anthony Mantella","1","1:20.819","1:20.819","Green","Track","24.052","36.080","18.420"
"4","LMP3","Antoine Comeau","1","1:21.627","1:21.627","Green","Track","24.311","36.074","18.636"
"33","LMP3","Lance Willsey","1","1:22.033","1:22.033","Green","Track","24.345","36.038","18.691"
"14","GTDPRO","Jack Hawksworth","1","1:34.087","1:34.087","Green","Track","23.684","35.441","18.386"
"79","GTDPRO","Jules Gounon","1","1:35.098","1:35.098","Green","Track","23.887","35.517","18.738"
"23","GTDPRO","Alex Riberas","1","1:35.606","1:35.606","Green","Track","24.070","35.672","18.686"
"27","GTD","Roman De Angelis","1","1:36.103","1:36.103","Green","Track","24.398","35.690","18.853"
"3","GTDPRO","Jordan Taylor","1","1:36.501","1:36.501","Green","Track","24.383","35.701","19.007"
"1","GTD","Madison Snow","1","1:36.847","1:36.847","Green","Track","24.575","35.571","18.983"
"9","GTDPRO","Klaus Bachler","1","1:37.234","1:37.234","Green","Track","24.667","35.851","19.337"
"32","GTD","Mikael Grenier","1","1:37.903","1:37.903","Green","Track","24.628","35.992","19.178"
"96","GTD","Patrick Gallagher","1","1:38.220","1:38.220","Green","Track","24.665","35.656","19.396"
"78","GTD","Misha Goikhberg","1","1:38.689","1:38.689","Green","Track","25.020","36.283","19.037"
"57","GTD","Russell Ward","1","1:39.124","1:39.124","Green","Track","24.795","36.095","19.175"
"97","GTD","Chandler Hull","1","1:39.607","1:39.607","Green","Track","24.960","36.381","19.227"
"70","GTD","Brendan Iribe","1","1:40.118","1:40.118","Green","Track","24.768","36.563","19.252"
"80","GTD","PJ Hyett","1","1:40.702","1:40.702","Green","Track","25.091","36.605","19.416"
"77","GTD","Alan Brynjolfsson","1","1:41.256","1:41.256","Green","Track","25.605","36.296","19.411"
"66","GTD","Sheena Monk","1","1:41.722","1:41.722","Green","Track","25.833","36.228","19.479"
"91","GTD","Alan Metni","1","1:42.106","1:42.106","Green","Track","25.769","36.472","19.809"
"92","GTD","David Brule","1","1:45.373","1:45.373","Green","Track","26.302","37.683","20.240"
"12","GTD","Frankie Montecalvo","1","1:55.761","1:55.761","Green","Pit","0.000","36.914","28.420"
"60","GTP","Tom Blomqvist","2","1:08.067","2:18.412","Green","Track","20.414","31.333","16.320"
"10","GTP","Ricky Taylor","2","1:08.404","2:19.463","Green","Track","20.332","31.673","16.399"
"01","GTP","Sebastien Bourdais","2","1:08.934","2:20.974","Green","Track","20.728","31.503","16.703"
"31","GTP","Pipo Derani","2","1:08.828","2:21.371","Green","Track","20.706","31.232","16.890"
"7","GTP","Felipe Nasr","2","1:09.092","2:22.163","Green","Track","21.070","31.361","16.661"
"24","GTP","Augusto Farfus","2","1:09.522","2:24.142","Green","Track","21.059","31.655","16.808"
"6","GTP","Mathieu Jaminet","2","1:09.603","2:24.656","Green","Track","21.034","31.584","16.985"
"25","GTP","Nick Yelloly","2","1:10.020","2:25.613","Green","Track","21.373","31.680","16.967"
