results_gtwc_cota_race2 - Team,results_gtwc_cota_race2 - Points, ,results_gtwc_cota_race3 - Team,results_gtwc_cota_race3 - Points, ,results_gtwc_cota_race4 - Team,results_gtwc_cota_race4 - Points, ,Team,Total Points
Racers Edge Motorsports,25,,Racers Edge Motorsports,25,,Racers Edge Motorsports,25,,Racers Edge Motorsports,25.0
RS1,18,,RS1,18,,RS1,18,,RS1,18.0
Wright Motorsports,25,,Wright Motorsports,25,,Wright Motorsports,25,,Wright Motorsports,25.0
TRG - The Racers Group,18,,TRG - The Racers Group,18,,TRG - The Racers Group,18,,TRG - The Racers Group,18.0
MDK,15,,MDK,15,,MDK,15,,MDK,15.0
Wright Motorsports,15,,Wright Motorsports,15,,Wright Motorsports,15,,DXDT Racing,12.0
DXDT Racing,12,,DXDT Racing,12,,DXDT Racing,12,,ST Racing,10.0
ST Racing,10,,ST Racing,10,,ST Racing,10,,Triarsi Competizione,8.0
Triarsi Competizione,8,,Triarsi Competizione,8,,Triarsi Competizione,8,,TR3 Racing,6.0
TR3 Racing,6,,TR3 Racing,6,,TR3 Racing,6,,Esses Racing with Mercedes-Benz of Austin,4.0
Esses Racing with Mercedes-Benz of Austin,4,,Esses Racing with Mercedes-Benz of Austin,4,,Esses Racing with Mercedes-Benz of Austin,4,,BimmerWorld,12.0
DXDT Racing,2,,DXDT Racing,2,,DXDT Racing,2,,ACI Motorsports,1.0
BimmerWorld,12,,BimmerWorld,12,,BimmerWorld,12,,RealTime Racing,25.0
ACI Motorsports,1,,ACI Motorsports,1,,ACI Motorsports,1,,,
RealTime Racing,25,,RealTime Racing,25,,RealTime Racing,25,,,
Crowdstrike by Riley,0,,Crowdstrike by Riley,0,,Crowdstrike by Riley,0,,,
