Time,xOut,yOut,zOut
50.0,329.0,364.0,377.0
100.0,329.0,364.0,377.0
150.0,329.0,364.0,377.0
200.0,330.0,364.0,377.0
250.0,329.0,364.0,377.0
300.0,329.0,364.0,376.0
350.0,329.0,364.0,377.0
400.0,329.0,364.0,376.0
450.0,329.0,364.0,377.0
500.0,329.0,364.0,377.0
550.0,329.0,364.0,377.0
600.0,329.0,364.0,376.0
650.0,329.0,364.0,377.0
700.0,329.0,364.0,377.0
750.0,329.0,364.0,377.0
800.0,329.0,364.0,377.0
850.0,329.0,364.0,376.0
900.0,329.0,364.0,377.0
950.0,329.0,364.0,377.0
1000.0,329.0,364.0,377.0
1050.0,329.0,364.0,377.0
1100.0,329.0,364.0,376.0
1150.0,329.0,364.0,377.0
1200.0,329.0,364.0,377.0
1250.0,329.0,364.0,377.0
1300.0,329.0,364.0,377.0
1350.0,329.0,364.0,377.0
1400.0,329.0,364.0,377.0
1451.0,329.0,364.0,377.0
1501.0,329.0,364.0,377.0
1551.0,329.0,364.0,377.0
1601.0,329.0,364.0,376.0
1651.0,329.0,364.0,377.0
1701.0,329.0,364.0,376.0
1751.0,329.0,364.0,377.0
1801.0,329.0,364.0,377.0
1851.0,329.0,364.0,377.0
1901.0,329.0,364.0,377.0
1951.0,329.0,364.0,377.0
2001.0,329.0,364.0,377.0
2051.0,329.0,364.0,377.0
2101.0,329.0,364.0,377.0
2151.0,329.0,364.0,377.0
2201.0,329.0,364.0,377.0
2251.0,329.0,364.0,376.0
2301.0,329.0,364.0,377.0
2351.0,329.0,364.0,377.0
2401.0,329.0,364.0,377.0
2451.0,329.0,364.0,377.0
2501.0,329.0,364.0,377.0
2551.0,329.0,364.0,377.0
2601.0,329.0,364.0,377.0
2651.0,329.0,364.0,377.0
2701.0,329.0,364.0,377.0
2751.0,329.0,364.0,376.0
2801.0,330.0,364.0,377.0
2851.0,329.0,364.0,377.0
2902.0,329.0,364.0,377.0
2952.0,329.0,364.0,377.0
3002.0,329.0,364.0,377.0
3052.0,329.0,364.0,377.0
3102.0,329.0,364.0,377.0
3152.0,330.0,364.0,377.0
3202.0,329.0,364.0,377.0
3252.0,329.0,364.0,377.0
3302.0,329.0,364.0,377.0
3352.0,329.0,364.0,377.0
3402.0,329.0,364.0,377.0
3452.0,329.0,364.0,377.0
3502.0,329.0,364.0,377.0
3552.0,329.0,364.0,377.0
3602.0,329.0,364.0,377.0
3652.0,329.0,364.0,377.0
3702.0,329.0,364.0,377.0
3752.0,329.0,364.0,377.0
3802.0,329.0,364.0,377.0
3852.0,329.0,364.0,377.0
3902.0,329.0,364.0,377.0
3952.0,329.0,364.0,377.0
4002.0,329.0,364.0,377.0
4052.0,329.0,364.0,377.0
4102.0,329.0,364.0,377.0
4152.0,329.0,364.0,377.0
4202.0,329.0,364.0,377.0
4252.0,329.0,364.0,377.0
4302.0,329.0,364.0,377.0
4352.0,329.0,364.0,377.0
4402.0,329.0,364.0,377.0
4452.0,329.0,364.0,376.0
4502.0,329.0,363.0,377.0
4552.0,329.0,364.0,377.0
4602.0,329.0,364.0,377.0
4652.0,329.0,364.0,376.0
4702.0,329.0,363.0,377.0
4752.0,329.0,364.0,377.0
4802.0,329.0,364.0,377.0
4852.0,329.0,363.0,376.0
4902.0,329.0,364.0,377.0
4952.0,329.0,364.0,377.0
5002.0,329.0,363.0,377.0
5052.0,329.0,363.0,377.0
5102.0,325.0,366.0,361.0
5152.0,333.0,361.0,392.0
5202.0,334.0,378.0,369.0
5252.0,331.0,347.0,388.0
5302.0,335.0,341.0,393.0
5352.0,327.0,347.0,397.0
5402.0,333.0,346.0,400.0
5452.0,331.0,344.0,391.0
5502.0,335.0,351.0,395.0
5552.0,331.0,344.0,386.0
5602.0,330.0,340.0,388.0
5652.0,338.0,346.0,393.0
5702.0,337.0,340.0,386.0
5752.0,333.0,337.0,386.0
5803.0,333.0,343.0,390.0
5853.0,346.0,343.0,387.0
5903.0,340.0,339.0,387.0
5953.0,338.0,341.0,381.0
6003.0,348.0,327.0,383.0
6053.0,338.0,340.0,388.0
6103.0,344.0,327.0,387.0
6153.0,337.0,343.0,391.0
6203.0,339.0,329.0,386.0
6253.0,339.0,338.0,385.0
6303.0,341.0,329.0,386.0
6353.0,336.0,337.0,387.0
6403.0,342.0,328.0,388.0
6453.0,337.0,335.0,385.0
6503.0,333.0,328.0,395.0
6553.0,350.0,328.0,381.0
6603.0,339.0,329.0,389.0
6653.0,337.0,328.0,390.0
6703.0,337.0,330.0,390.0
6753.0,340.0,329.0,389.0
6803.0,336.0,331.0,387.0
6853.0,339.0,328.0,390.0
6903.0,335.0,331.0,390.0
6953.0,339.0,329.0,391.0
7003.0,336.0,333.0,388.0
Time,xOut,yOut,zOut
Time,xOut,yOut,zOut
50.0,335.0,357.0,383.0
100.0,335.0,357.0,382.0
150.0,335.0,358.0,383.0
200.0,335.0,357.0,383.0
250.0,335.0,357.0,383.0
300.0,335.0,357.0,382.0
350.0,335.0,357.0,383.0
400.0,335.0,357.0,382.0
450.0,335.0,357.0,383.0
500.0,335.0,358.0,382.0
550.0,335.0,357.0,382.0
600.0,335.0,358.0,383.0
650.0,335.0,357.0,383.0
700.0,335.0,357.0,383.0
750.0,335.0,358.0,382.0
800.0,335.0,357.0,383.0
850.0,335.0,358.0,383.0
900.0,335.0,357.0,383.0
950.0,335.0,357.0,383.0
1000.0,335.0,357.0,383.0
1050.0,335.0,358.0,383.0
1100.0,335.0,357.0,383.0
1150.0,335.0,357.0,382.0
1200.0,335.0,358.0,383.0
1250.0,335.0,357.0,382.0
1300.0,335.0,357.0,383.0
1350.0,335.0,358.0,383.0
1400.0,335.0,358.0,382.0
1451.0,335.0,357.0,382.0
1501.0,335.0,357.0,382.0
1551.0,335.0,358.0,382.0
1601.0,335.0,357.0,382.0
1651.0,335.0,357.0,383.0
1701.0,335.0,358.0,382.0
1751.0,335.0,357.0,383.0
1801.0,335.0,357.0,382.0
1851.0,335.0,358.0,382.0
1901.0,335.0,357.0,383.0
1951.0,335.0,357.0,382.0
2001.0,335.0,357.0,383.0
2051.0,335.0,358.0,383.0
2101.0,335.0,358.0,383.0
2151.0,335.0,357.0,382.0
2201.0,335.0,357.0,382.0
2251.0,335.0,357.0,382.0
2301.0,335.0,357.0,383.0
2351.0,335.0,358.0,383.0
2401.0,335.0,357.0,382.0
2451.0,335.0,357.0,383.0
2501.0,335.0,358.0,383.0
2551.0,335.0,357.0,383.0
2601.0,335.0,358.0,382.0
2651.0,335.0,357.0,382.0
2701.0,335.0,358.0,382.0
2751.0,335.0,358.0,382.0
2801.0,335.0,357.0,382.0
2851.0,335.0,357.0,383.0
2902.0,335.0,357.0,382.0
2952.0,335.0,357.0,383.0
3002.0,335.0,358.0,383.0
3052.0,335.0,357.0,382.0
3102.0,335.0,358.0,382.0
3152.0,335.0,358.0,383.0
3202.0,335.0,357.0,383.0
3252.0,335.0,357.0,383.0
3302.0,335.0,357.0,383.0
3352.0,335.0,358.0,382.0
3402.0,335.0,357.0,382.0
3452.0,335.0,357.0,383.0
3502.0,335.0,358.0,383.0
3552.0,335.0,358.0,383.0
3602.0,335.0,357.0,383.0
3652.0,335.0,357.0,382.0
3702.0,335.0,358.0,383.0
3752.0,335.0,357.0,383.0
3802.0,335.0,358.0,383.0
3852.0,335.0,357.0,383.0
3902.0,335.0,357.0,383.0
3952.0,335.0,357.0,382.0
4002.0,335.0,357.0,383.0
4052.0,335.0,357.0,383.0
4102.0,335.0,357.0,383.0
4152.0,335.0,357.0,382.0
4202.0,335.0,358.0,383.0
4252.0,335.0,357.0,382.0
